Year,Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,Alex Caruso,1,1,10/19/2022,28-233,CHI,@,MIA,W (+8),1,29:39:00,2,10,0.2,1,6,0.167,1,2,0.5,2,3,5,4,2,0,4,4,6,0.9,9
2022,Alex Caruso,2,2,10/21/2022,28-235,CHI,@,WAS,L (-2),1,30:45:00,1,4,0.25,0,2,0,1,2,0.5,0,3,3,1,3,1,4,1,3,1.1,-8
2022,Alex Caruso,3,3,10/22/2022,28-236,CHI,,CLE,L (-32),0,16:36,0,1,0,0,1,0,2,2,1,0,2,2,2,1,1,1,1,2,3.6,-15
2022,Alex Caruso,4,4,10/24/2022,28-238,CHI,,BOS,W (+18),0,18:21,2,2,1,1,1,1,2,2,1,0,3,3,4,0,2,2,2,7,8.7,29
2022,Alex Caruso,5,5,10/26/2022,28-240,CHI,,IND,W (+15),0,23:16,3,4,0.75,2,3,0.667,0,0,,0,2,2,3,3,2,1,3,8,11.3,18
2022,Alex Caruso,6,6,10/28/2022,28-242,CHI,@,SAS,L (-5),1,23:32,1,5,0.2,1,3,0.333,0,0,,3,0,3,4,1,0,1,1,3,4.4,-11
2022,Alex Caruso,7,7,10/29/2022,28-243,CHI,,PHI,L (-5),1,35:10:00,2,5,0.4,1,2,0.5,4,4,1,0,3,3,6,3,1,1,1,9,13.7,7
2022,Alex Caruso,8,8,11/1/2022,28-246,CHI,@,BRK,W (+9),0,25:01:00,1,4,0.25,1,2,0.5,1,2,0.5,0,4,4,4,0,0,0,1,4,4.8,11
2022,Alex Caruso,9,9,11/2/2022,28-247,CHI,,CHO,W (+18),0,24:11:00,2,3,0.667,1,2,0.5,1,2,0.5,0,0,0,3,1,1,1,3,6,5.9,12
2022,Alex Caruso,10,10,11/4/2022,28-249,CHI,@,BOS,L (-4),0,22:39,2,3,0.667,1,2,0.5,0,0,,0,1,1,3,0,1,3,3,5,2.6,-14
2022,Alex Caruso,11,11,11/6/2022,28-251,CHI,@,TOR,L (-9),1,32:14:00,1,11,0.091,0,6,0,2,2,1,3,8,11,11,2,2,2,2,4,9.5,15
2022,Alex Caruso,12,12,11/7/2022,28-252,CHI,,TOR,W (+14),0,28:01:00,1,2,0.5,1,1,1,1,2,0.5,0,6,6,5,2,2,3,1,4,7.9,16
2022,Alex Caruso,13,13,11/9/2022,28-254,CHI,,NOP,L (-4),0,22:50,0,1,0,0,1,0,0,0,,0,3,3,1,1,0,0,4,0,0.3,1
2022,Alex Caruso,14,14,11/13/2022,28-258,CHI,,DEN,L (-23),0,21:14,0,1,0,0,1,0,0,0,,0,0,0,2,3,1,3,1,0,1,-2
2022,Alex Caruso,15,15,11/16/2022,28-261,CHI,@,NOP,L (-14),0,27:16:00,5,7,0.714,3,4,0.75,0,0,,0,2,2,2,0,0,0,2,13,11.3,-4
2022,Alex Caruso,16,16,11/18/2022,28-263,CHI,,ORL,L (-1),0,22:52,3,5,0.6,1,2,0.5,0,0,,1,0,1,5,0,0,1,5,7,5.9,-8
2022,Alex Caruso,17,17,11/21/2022,28-266,CHI,,BOS,W (+14),0,28:34:00,4,7,0.571,2,4,0.5,0,0,,0,1,1,4,4,0,0,3,10,12.6,6
2022,Alex Caruso,18,18,11/23/2022,28-268,CHI,@,MIL,W (+5),0,27:18:00,0,2,0,0,2,0,0,0,,0,1,1,3,2,0,1,3,0,0.8,14
2022,Alex Caruso,19,19,11/25/2022,28-270,CHI,@,OKC,L (-4),0,28:11:00,4,5,0.8,2,2,1,2,2,1,0,2,2,4,1,1,1,3,12,13,1
2022,Alex Caruso,20,20,11/28/2022,28-273,CHI,@,UTA,W (+7),0,26:44:00,1,2,0.5,0,1,0,3,4,0.75,0,6,6,2,0,1,1,0,5,6.5,11
2022,Alex Caruso,21,21,11/30/2022,28-275,CHI,@,PHO,L (-19),0,21:13,4,7,0.571,2,4,0.5,4,5,0.8,0,1,1,2,0,0,0,5,14,10,-12
2022,Alex Caruso,22,22,12/2/2022,28-277,CHI,@,GSW,L (-8),1,27:51:00,1,4,0.25,0,3,0,0,0,,0,0,0,6,1,0,1,3,2,2.6,-17
2022,Alex Caruso,23,23,12/4/2022,28-279,CHI,@,SAC,L (-9),1,29:42:00,0,4,0,0,1,0,0,0,,0,3,3,4,3,2,1,1,0,3.9,-4
2022,Alex Caruso,24,24,12/7/2022,28-282,CHI,,WAS,W (+4),1,32:10:00,2,4,0.5,0,1,0,1,1,1,0,4,4,9,4,0,1,3,5,12.3,17
2022,Alex Caruso,25,25,12/10/2022,28-285,CHI,,DAL,W (+29),1,6:13,0,0,,0,0,,1,2,0.5,0,1,1,1,1,0,0,0,1,2.6,16
2022,Alex Caruso,26,,12/11/2022,28-286,CHI,@,ATL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,Alex Caruso,27,26,12/14/2022,28-289,CHI,,NYK,L (-8),1,32:24:00,2,2,1,0,0,,0,0,,0,2,2,5,3,0,2,5,4,6.5,-15
2022,Alex Caruso,28,27,12/16/2022,28-291,CHI,,NYK,L (-23),1,25:08:00,3,7,0.429,2,5,0.4,1,2,0.5,0,3,3,4,1,1,2,3,9,7.1,-23
2022,Alex Caruso,29,28,12/18/2022,28-293,CHI,@,MIN,L (-24),1,25:56:00,2,5,0.4,1,3,0.333,0,0,,2,1,3,2,1,0,2,1,5,4,-13
2022,Alex Caruso,30,29,12/20/2022,28-295,CHI,@,MIA,W (+10),1,22:37,2,2,1,1,1,1,2,2,1,1,5,6,3,3,0,2,3,7,10.5,7
2022,Alex Caruso,31,30,12/21/2022,28-296,CHI,@,ATL,W (+2),1,10:54,2,2,1,1,1,1,0,0,,0,2,2,0,2,1,0,1,5,7.3,19
