Year,Team,Game,Date,Start (ET),Away game indicator,Opponent,Result,Tm,Opp,W,L,Streak,Notes,Home or Away
2022,Chicago Bulls,1,"Wed, Oct 19, 2022",7:30p,@,Miami Heat,W,116,108,1,0,W 1,,Away
2022,Chicago Bulls,2,"Fri, Oct 21, 2022",7:00p,@,Washington Wizards,L,100,102,1,1,L 1,,Away
2022,Chicago Bulls,3,"Sat, Oct 22, 2022",8:00p,,Cleveland Cavaliers,L,96,128,1,2,L 2,,Home
2022,Chicago Bulls,4,"Mon, Oct 24, 2022",8:00p,,Boston Celtics,W,120,102,2,2,W 1,,Home
2022,Chicago Bulls,5,"Wed, Oct 26, 2022",8:00p,,Indiana Pacers,W,124,109,3,2,W 2,,Home
2022,Chicago Bulls,6,"Fri, Oct 28, 2022",8:30p,@,San Antonio Spurs,L,124,129,3,3,L 1,,Away
2022,Chicago Bulls,7,"Sat, Oct 29, 2022",8:00p,,Philadelphia 76ers,L,109,114,3,4,L 2,,Home
2022,Chicago Bulls,8,"Tue, Nov 1, 2022",7:30p,@,Brooklyn Nets,W,108,99,4,4,W 1,,Away
2022,Chicago Bulls,9,"Wed, Nov 2, 2022",8:00p,,Charlotte Hornets,W,106,88,5,4,W 2,,Home
2022,Chicago Bulls,10,"Fri, Nov 4, 2022",7:30p,@,Boston Celtics,L,119,123,5,5,L 1,,Away
2022,Chicago Bulls,11,"Sun, Nov 6, 2022",6:00p,@,Toronto Raptors,L,104,113,5,6,L 2,,Away
2022,Chicago Bulls,12,"Mon, Nov 7, 2022",8:45p,,Toronto Raptors,W,111,97,6,6,W 1,,Home
2022,Chicago Bulls,13,"Wed, Nov 9, 2022",8:00p,,New Orleans Pelicans,L,111,115,6,7,L 1,,Home
2022,Chicago Bulls,14,"Sun, Nov 13, 2022",8:00p,,Denver Nuggets,L,103,126,6,8,L 2,,Home
2022,Chicago Bulls,15,"Wed, Nov 16, 2022",8:00p,@,New Orleans Pelicans,L,110,124,6,9,L 3,,Away
2022,Chicago Bulls,16,"Fri, Nov 18, 2022",8:00p,,Orlando Magic,L,107,108,6,10,L 4,,Home
2022,Chicago Bulls,17,"Mon, Nov 21, 2022",8:00p,,Boston Celtics,W,121,107,7,10,W 1,,Home
2022,Chicago Bulls,18,"Wed, Nov 23, 2022",8:00p,@,Milwaukee Bucks,W,118,113,8,10,W 2,,Away
2022,Chicago Bulls,19,"Fri, Nov 25, 2022",8:00p,@,Oklahoma City Thunder,L,119,123,8,11,L 1,,Away
2022,Chicago Bulls,20,"Mon, Nov 28, 2022",9:00p,@,Utah Jazz,W,114,107,9,11,W 1,,Away
2022,Chicago Bulls,21,"Wed, Nov 30, 2022",9:00p,@,Phoenix Suns,L,113,132,9,12,L 1,,Away
2022,Chicago Bulls,22,"Fri, Dec 2, 2022",10:00p,@,Golden State Warriors,L,111,119,9,13,L 2,,Away
