Year,Player,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,Nikola Vucevic,1,1,10/19/2022,31-360,CHI,@,MIA,W (+8),1,33:07:00,5,13,0.385,1,5,0.2,4,4,1,5,12,17,2,0,3,1,1,15,17.1,16
2022,Nikola Vucevic,2,2,10/21/2022,31-362,CHI,@,WAS,L (-2),1,29:59:00,5,14,0.357,2,7,0.286,12,12,1,2,6,8,1,0,0,1,0,24,19.1,-10
2022,Nikola Vucevic,3,3,10/22/2022,31-363,CHI,,CLE,L (-32),1,30:47:00,7,12,0.583,2,3,0.667,0,0,,1,3,4,3,0,3,2,3,16,13,-10
2022,Nikola Vucevic,4,4,10/24/2022,32-000,CHI,,BOS,W (+18),1,30:37:00,7,19,0.368,0,3,0,4,5,0.8,10,13,23,5,0,0,2,3,18,18.3,1
2022,Nikola Vucevic,5,5,10/26/2022,32-002,CHI,,IND,W (+15),1,31:15:00,5,10,0.5,1,3,0.333,3,3,1,1,6,7,4,0,0,2,4,14,10.7,-1
2022,Nikola Vucevic,6,6,10/28/2022,32-004,CHI,@,SAS,L (-5),1,24:31:00,4,13,0.308,1,5,0.2,0,0,,3,2,5,2,0,1,2,3,9,3.1,-15
2022,Nikola Vucevic,7,7,10/29/2022,32-005,CHI,,PHI,L (-5),1,36:22:00,8,14,0.571,5,7,0.714,2,2,1,3,16,19,3,1,0,4,4,23,20.8,-2
2022,Nikola Vucevic,8,8,11/1/2022,32-008,CHI,@,BRK,W (+9),1,31:56:00,3,8,0.375,0,1,0,1,2,0.5,3,12,15,2,1,0,1,2,7,8.5,5
2022,Nikola Vucevic,9,9,11/2/2022,32-009,CHI,,CHO,W (+18),1,31:34:00,5,16,0.313,2,6,0.333,2,2,1,2,11,13,3,0,1,4,2,14,7.5,-4
2022,Nikola Vucevic,10,10,11/4/2022,32-011,CHI,@,BOS,L (-4),1,35:14:00,10,14,0.714,4,5,0.8,0,0,,3,9,12,3,1,0,1,4,24,23.5,10
2022,Nikola Vucevic,11,11,11/6/2022,32-013,CHI,@,TOR,L (-9),1,35:28:00,8,13,0.615,2,5,0.4,0,0,,4,8,12,6,0,1,4,2,18,17.4,-10
2022,Nikola Vucevic,12,12,11/7/2022,32-014,CHI,,TOR,W (+14),1,34:43:00,7,14,0.5,1,4,0.25,0,0,,0,13,13,4,0,2,5,3,15,9.9,7
2022,Nikola Vucevic,13,13,11/9/2022,32-016,CHI,,NOP,L (-4),1,27:24:00,6,9,0.667,2,4,0.5,4,5,0.8,0,7,7,2,0,0,2,2,18,14.4,-13
2022,Nikola Vucevic,14,14,11/13/2022,32-020,CHI,,DEN,L (-23),1,23:04,4,10,0.4,1,3,0.333,0,0,,0,6,6,0,0,0,3,1,9,2,-16
2022,Nikola Vucevic,15,15,11/16/2022,32-023,CHI,@,NOP,L (-14),1,29:46:00,6,13,0.462,2,5,0.4,0,0,,2,8,10,0,1,0,2,1,14,9.7,-10
2022,Nikola Vucevic,16,16,11/18/2022,32-025,CHI,,ORL,L (-1),1,33:24:00,5,13,0.385,0,2,0,4,6,0.667,3,13,16,7,1,3,1,3,14,17.9,9
2022,Nikola Vucevic,17,17,11/21/2022,32-028,CHI,,BOS,W (+14),1,35:03:00,6,7,0.857,0,1,0,0,1,0,1,12,13,6,0,0,0,0,12,17.6,20
2022,Nikola Vucevic,18,18,11/23/2022,32-030,CHI,@,MIL,W (+5),1,29:48:00,7,14,0.5,4,10,0.4,0,0,,1,4,5,4,0,1,2,1,18,14,13
